local,preco,metragem,quartos,garagens,banheiros,bairro
"Rua Felisbino Passos, Tingui",450000,55,2,1,1,74
"Tingui, Curitiba",320700,50,2,,1,74
"Rua São Vicente Pallotti, Cajuru",359560,58,2,,1,21
"Rua Santa Catarina, Água Verde",420000,58,2,1,1,1
"Rua Alferes Ângelo Sampaio, Mercês",1142100,91,2,2,3,49
"Avenida Sete de Setembro, Centro",215769,28,,,1,28
"Rua Jorge de Poli, Xaxim",753000,137,3,2,3,79
"Batel, Curitiba",624793,48,,,1,13
"Capão Raso, Curitiba",2280000,675,,,,26
"Rua Doutor Raul Carneiro Filho, Água Verde",608331,64,2,2,2,1
"Alto da Rua XV, Curitiba",1290000,141,3,2,2,6
"Rua André de Barros, Centro",240000,28,,,2,28
"Avenida Água Verde, Vila Izabel",525000,97,2,1,3,1
"Rua Bom Jesus, Juvevê",1814000,113,3,1,4,46
"Rua Ângelo Nabosne, Cidade Industrial",1320882,126,3,2,4,33
"Cabral, Curitiba",965172,96,3,1,1,19
"Capão Raso, Curitiba",390000,62,2,1,1,26
"Rua Reinaldo Stocco, Pinheirinho",355000,61,3,1,1,55
"Rua Humberto Morona, Cristo Rei",999000,72,2-3,2,2-3,34
"Rua Reinaldino Schaffenberg de Quadros, Alto da Rua XV",1050000,108,3,2,2,6
"Rua Professor Assis Gonçalves, Água Verde",683500,77-105,2-3,1-2,2-3,1
"Umbara, Curitiba",120000,97,,,,76
"Rua José Rodrigues Pinheiro, Capão Raso",350000,65,3,1,2,26
"Rua Professor Pedro Viriato Parigot de Souza, Mossunguê",1181640,132,4,2,3,50
"Travessa Elizabete Charlote Brand, Sitio Cercado",457000,150,2,3,2,70
"Rua Amazonas, Água Verde",439900,55,2,1,2,1
"Rua Professora Regina Casagrande Marinoni, Prado Velho",750000,396,,,,57
"Rua Deputado Estefano Mikilita, Portão",400000,48,,,1,56
"Rua Arcésio Correia Lima, Atuba",499000,502,,,,7
"Avenida da Integração, Bairro Alto",750000,260,2,,,10
"Rua Doutor Aldivar José Bassetti, Boa Vista",2650000,1991,,,,15
"Rua Acyr Guimarães, Batel",2600000,262,,4,2,13
"Rua Visconde do Rio Branco, Mercês",848700,85,2,2,3,49
"Rua José Loureiro, Centro",410000,100,,,1,28
"Avenida Água Verde, Vila Izabel",525000,97,2,1,3,1
"Rua Osmar Rosa, Cidade Industrial",551000,782,,,,33
"Rua Flávio Dallegrave, Barreirinha",595000,667,,,,12
"Novo Mundo, Curitiba",389400,66,2,2,1,51
"Rua Salomão Guelmann, Novo Mundo",389400,66,2,1,2,51
"Alameda Cabral, São Francisco",805000,91,3,2,2,19
"Rua João Alexandre Kopp, Cidade Industrial",687000,280,5,2,4,33
"Rua Visconde do Rio Branco, Centro",1880000,307,,2,4,28
"Alameda Princesa Izabel, Bigorrilho",1208635,97-172,2-3,2-3,4-5,14
"Rua Professor Guido Straube, Vila Izabel",959000,75-101,2-3,1-3,2-4,77
"Rua Professor Guido Straube, Vila Izabel",395000,39-390,,1-9,1-5,77
"Rua Visconde do Rio Branco, Mercês",899000,85,2,2,3,49
"Centro, Curitiba",640600,41,,,1,28
"Rua Ivo Ferro, Uberaba",1348300,198,3,2,4,75
"Rua Louis Esquier, Uberaba",680000,220,4,3,3,75
"Rua Casemiro Augusto Rodacki, Cidade Industrial",244900,38,1,,1,33
"Avenida Desembargador Hugo Simas, Bom Retiro",540000,71,2,1,2,16
"Rua Paraíba, Guaíra",399000,71,3,1,2,40
"Estrada Guilherme Weigert, Santa Cândida",284400,60,3,1,1,60
"Rua Conselheiro Laurindo, Centro",145000,19,,,1,28
"Rua Júlia Wanderley, Mercês",1389800,875,,,,49
"Rua Napoleão Laureano, Boqueirão",1060000,783,,,,17
"Rua Deputado Heitor Alencar Furtado, Campo Comprido",4755000,320,3,4,4,23
"Mercês, Curitiba",1297486,130,3,,3,49
"Rua Doutor Alarico Vieira de Alencar, Bacacheri",850000,123,4,2,2,9
"Rua Maria Clara, Alto da Glória",1004900,99,3,2,3,4
"Avenida Presidente Affonso Camargo, Jardim Botânico",716100,81,3,1,2,43
"Rua Coronel Amazonas Marcondes, Cabral",984073,107,3,1,3,19
"Rua Brigadeiro Franco, Mercês",346041,30,1,,1,49
"Rua João Viana Seiler, Parolin",336730,64,2,1,2,53
"Rua Mariano Torres, Centro",1106600,107,3,1,3,28
"Rua Brasílio Itiberê, Jardim Botânico",440000,68,2,1,2,43
"Rua Murilo do Amaral Ferreira, Água Verde",2970525,259,4,3-4,3,1
"Rua Manoel Eufrásio, Juvevê",1570000,134-249,3,2-4,4-6,46
"Rua Euclides da Cunha, Bigorrilho",Sobconsulta,29-488,,1,1,14
"Rua Capitão Tenente Maris de Barros, Portão",234000,59,3,1,1,56
"Rua Gago Coutinho, Bacacheri",565000,70,2,2,2,9
"Rua Arcésio Correia Lima, Atuba",499000,502,,,,7
"Rua Baltazar Carrasco dos Reis, Rebouças",428000,55,2,1,1,58
"Rua Cecília Mikosz, Tangua",780000,600,,,,-1
"Juvevê, Curitiba",731225,79,2,1,2,46
"Rua Barão de Antonina, São Francisco",1050000,96,2,2,2,65
"Avenida Presidente Getúlio Vargas, Vila Izabel",538600,62,2,1,1,77
"Centro, Curitiba",862100,73,2,1,2,28
"Guaíra, Curitiba",199000,33,1,,1,40
"Rua Coronel Amazonas Marcondes, Cabral",1060000,122,3,2,4,19
"Rua Rodolpho Senff, Jardim das Américas",850000,162,3,3,3,45
"Rua Pedro Cruzetta, Campo Comprido",2023818,1033,,,,23
"Abranches, Curitiba",3290000,653,4,6,5,0
"Avenida Nossa Senhora da Luz, Cabral",4737000,300,3,3,5,19
"Rua João Schleder Sobrinho, Boa Vista",749000,84,2,1,3,15
"Rua Manoel Valdomiro de Macedo, Cidade Industrial",235490,44,2,1,1,33
"Santa Cândida, Curitiba",250000,47,2,1,1,60
"Rua Antônio Stival, Santa Felicidade",1399610,657,,,,61
"Rua Engenheiros Rebouças, Rebouças",920000,119,3,3,2,58
"Rua João Batista Trentin, Tingui",549900,69,3,1,1,74
"Rua Bom Jesus, Juvevê",732000,78-163,2-3,1,1,46
